,completitud,missing_pct
pl_letter,1.0,0.0
hostname,1.0,0.0
rowid,1.0,0.0
pl_name,1.0,0.0
sy_mnum,1.0,0.0
cb_flag,1.0,0.0
discoverymethod,1.0,0.0
disc_refname,1.0,0.0
sy_snum,1.0,0.0
sy_pnum,1.0,0.0
disc_year,0.9998376623376624,0.016233766233764158
disc_instrument,0.9991883116883117,0.08116883116883189
ptv_flag,0.9991883116883117,0.08116883116883189
pul_flag,0.9991883116883117,0.08116883116883189
rv_flag,0.9991883116883117,0.08116883116883189
pl_controv_flag,0.9991883116883117,0.08116883116883189
micro_flag,0.9991883116883117,0.08116883116883189
dkin_flag,0.9991883116883117,0.08116883116883189
ima_flag,0.9991883116883117,0.08116883116883189
etv_flag,0.9991883116883117,0.08116883116883189
